и	and	Москва и Петербург|Moscow and St Petersburg	deck#6	due@2021-09-07 10:10:35
в (во)	(+pr) in; (+a) into, to	в Москве; в Москву|in Moscow; to Moscow	deck#6	due@2021-09-07 10:10:41
не	not	Он не в Москве|He is not in Moscow	deck#6	due@2021-09-07 10:10:42
на	(+pr) on, at; (+a) onto, to	на работе; на стол|at work; onto the table	deck#6	due@2021-09-07 10:10:43
я	I	Я говорю|I speak/am speaking/say	deck#6	due@2021-09-07 10:10:44
он	he	Он говорит|He speaks/is speaking/says	deck#5	due@2020-12-11 08:59:46
что	what, that	Я говорю, что он на работе|I say that he is at work	deck#6	due@2021-09-07 10:10:44
с (со)	(+inst) with; (+g) from, off	чай с лимоном; со стола|tea with lemon; from (off) the table	deck#5	due@2020-12-11 08:43:17
это	this, that, it	Это наш клуб; Это верно|This is our club; That’s true	deck#6	due@2021-09-07 10:10:45
быть (i) (pres: есть)	to be; there is, there are	Быть или не быть?; Есть кофе?|To be or not to be?; Is there any coffee?	deck#5	due@2020-12-11 10:10:47
а	and, but (slight contrast)	Она в Москве, а он в Петербурге|She is in Moscow, and (but) he is in St Petersburg	deck#6	due@2021-09-07 10:10:49
весь (f вся, n всё, pl все)	all	весь стол; вся Москва|the whole table; all of Moscow	deck#4	due@2020-10-12 10:10:55
они	they	Они в Москве|They are in Moscow	deck#6	due@2021-09-07 10:10:57
она	she	Она со мной|She is with me	deck#5	due@2020-12-10 22:33:04
как	how, as, like	Как он говорит? как я, как ты|How does he speak? like me, like you	deck#6	due@2021-09-07 10:10:57
мы	we	Мы были в Петербурге|We were in St Petersburg	deck#6	due@2021-09-07 10:10:58
к (ко) (+d)	towards, to	к дому; ко мне|towards the house; towards me	deck#6	due@2021-09-07 10:10:59
у (+g)	by; at (used in ‘have’ construction)	у окна; у Ивана; У Ивана есть дом|by the window; at Ivan’s house; Ivan has a house	deck#6	due@2021-09-07 10:11:02
вы	you (polite/pl)	Вы говорите|You are speaking	deck#6	due@2021-09-07 10:11:03
этот (f эта, n это, pl эти)	this	этот стол, эта книга, эти люди|this table, this book, these people	deck#5	due@2020-12-10 22:37:52
за	(+a) for; (+inst) behind	платить за водку за домом|to pay for the vodka; behind the house	deck#5	due@2020-12-10 22:40:25
тот (f та, n то, pl те)	that	тот дом; в то время; то, что …|that house; at that time; the fact that…	deck#4	due@2020-10-12 10:11:08
но	but	Но это не правда|But that’s not true	deck#4	due@2020-10-12 08:48:26
ты	you (familiar)	Ты говоришь|You are speaking	deck#6	due@2021-09-07 10:11:09
по (+d)	along; around; according to	по улице; по городу; по плану|along the street; around the town; according to	deck#3	due@2020-09-20 22:35:02
из (изо) (+g)	out of, from	из дома|out of the house	deck#6	due@2021-09-07 10:11:12
о (об/обо) (+pr)	about, concerning	Он говорит о Москве|He is speaking about Moscow	deck#5	due@2020-12-11 10:11:14
свой	one’s own	Он говорит о своей работе|He is talking about his own work	deck#4	due@2020-10-12 10:11:15
так	so	так быстро|so quickly	deck#5	due@2020-12-11 10:11:17
один (f одна, n одно)	one	один стол|one table	deck#6	due@2021-09-07 10:11:19
вот	here, there (pointing)	Вот дом|There is the house	deck#6	due@2021-09-07 10:11:20
который	which, who	девушка, которую он любит|the girl whom he loves	deck#4	due@2020-10-12 10:11:23
наш	our	наш дом|our house	deck#5	due@2020-12-11 10:11:25
только	only	У Ивана только один брат|Ivan has only one brother	deck#5	due@2020-12-10 22:32:07
ещё	still, yet	Он ещё не знает|He doesn’t know yet	deck#5	due@2020-12-11 10:11:26
от (+g)	from	письмо от Ивана|a letter from Ivan	deck#4	due@2020-10-12 10:11:33
такой	such	такой большой сад|such a large garden	deck#5	due@2020-12-10 22:38:15
мочь/с-	to be able	Я могу; Он не может говорить|I can; He can’t speak; Я смогу приехать завтра; Он не сможет ответить на ваш вопрос|I shall be able to come tomorrow; He won’t be able to answer your question	deck#4	due@2020-10-12 10:11:40
