драматический	dramatic
дружить (i) (с +inst)	to be friends (with s.o.)	i дружу, дружишь
дурачок	idiot, half-wit
душный	stuffy
дымиться (i)	to smoke
дырка	small hole	g pl дырок
желающий	person interested (in doing sth)	Есть желающие пойти в кино? Does anyone want to go to the cinema?
желтоватый	yellowish
законченный	complete; consummate, professional	законченный мастер consummate master
запечатлевать/запечатлеть (+a)	to imprint	p запечатлею, запечатлеешь
затрагивать/затронуть (+a)	to touch, affect
шагать/за-	to stride out
зёрнышко	grain	nom pl зёрнышки, g pl зёрнышек
значимость (f)	significance	f
изгонять/изгнать (+a)	to expel, banish	p изгоню, изгонишь, f past изгнала
излюбленный	favourite
измеряться/измериться	to be measured	i измеряется
расходовать/израсходовать (+a)	to spend, use up	p израсходую
иллюминатор	porthole
иллюстрировать (i/p) (+a)	to illustrate	i/p иллюстрирую
именовать/на- (+a)	to name	i именую
инвентарь (m)	equipment; inventory	m; g sg инвентаря
интеллектуальный	intellectual (adj)
ископаемые	minerals
исполненный (+g)	full (of)
исправление	correction
истерика	hysterics
исчерпывающий	exhaustive
итальянец	Italian
канат	rope, cable
капиталовложение	capital investment	often pl капиталовложения
катить/по- (+a)	to roll (sth)	i качу, катишь
киевский	Kiev (adj)
кипяток	boiling water
классный	class (adj); first-class
клиника	clinic
коза	goat	nom pl козы
козырь (m)	trump	m; g pl козырей
коленка	knee (coll)	g pl коленок
колючий	prickly	колючая проволока barbed wire
комар	mosquito	g sg комара
комбинезон	overalls
комод	chest of drawers
конвейер	conveyor belt
конфисковать (i/p) (+a)	to confiscate	i/p конфискую
концертный	concert (adj)
концлагерь (m)	concentration camp	nom pl концлагеря
кончина	decease, demise (formal)
кооперативный	cooperative (adj)
копать/копнуть (+a)	to dig
косо	squint, askew
косточка	stone (of fruit); small bone	g pl косточек
котёнок	kitten	nom pl котята, g pl котят
красить/о-	to paint, colour; dye	i крашу, красишь; вы-/о-/по- р
красноватый	reddish
крах	crash; failure
крошка	crumb	g pl крошек
кряхтеть (i)	to groan; grunt	i кряхчу, кряхтишь
кузов	body (of vehicle); basket	nom pl кузова
культ	cult	культ личности cult of personality
лайнер	liner
лёгкое	lung
лениво	lazily
лечиться (i) (от +g)	to undergo treatment, be treated for	i лечусь, лечишься
линейка	line (on paper); ruler (for drawing lines)	g pl линеек
лондонский	London (adj)
лоскут	rag, scrap	nom pl лоскуты, g pl лоскутов or nom pl лоскутья, g pl лоскутьев
любезно	obligingly, courteously
макушка	top; crown (of head)	g pl макушек; Ушки на макушке I’m all ears
маневрировать/с-	to manoeuvre	i маневрирую
машинально	mechanically
машиностроительный	mechanical engineering (adj)
мелко	finely; pettily
мельком	in passing
метить (i)	(+a) to mark; (в +a) aim (at)	i мечу, метишь
мещанка	lower middle-class woman; philistine	g pl мещанок
многообразный	diverse
молва	rumour(s)	no pl
монумент	monument
морщинка	wrinkle	g pl морщинок
мраморный	marble (adj)
мужицкий	peasant (adj), peasant’s
наваливать/навалить (+a)	to heap up, pile	p навалю, навалишь
навечно	for ever
навоз	manure
наглухо	tightly, firmly
нагревать/нагреть (+a)	to warm, heat	p нагрею, нагреешь
надвигаться/надвинуться	to draw near
надобно	necessary (coll) (= надо)	= надо
нанимать/нанять (+a)	to hire
поить/на- (+a)	to give to drink	поить i/напаивать i; i пою, поишь
напоследок	in the end (coll)
наравне (с +inst)	level (with), on equal terms (with)
наскоро	hastily (coll)
настежь	wide open
научно	scientifically
недоверчиво	distrustfully, suspiciously
незабываемый	unforgettable
немыслимый	unthinkable
ненормальный	abnormal; mad
непобедимый	invincible
неполный	incomplete
непреклонный	unyielding, adamant
непреодолимый	insurmountable
неслышно	inaudible; inaudibly
неутомимый	tireless
нырять/нырнуть	to dive
обдумывать/обдумать (+a)	to consider, ponder, think over
оберегать/оберечь (+a от +g)	to protect (s.o. from sth)
обиход	use; custom, practice	выйти из обихода to go out of use
облачный	cloudy
обливать/облить (+a +inst)	to pour sth (inst) over sth	p оболью, обольёшь, f past облила
обложка	cover (of book etc.)	g pl обложек
обнажённый	naked
обобщение	generalization
образцовый	model, exemplary
обрушиваться/обрушиться	to collapse, cave in; (на +a) fall upon, attack (s.o. or sth)
одновременный	simultaneous
оживлённый	animated, excited
окрестный	surrounding
опаска	caution (coll)	с опаской nervously, cautiously
опровержение	refutation
опущенный	lowered
освободительный	liberation (adj)
осложнение	complication
осмысливать/осмыслить (+a)	to make sense (of sth), interpret
оставшийся	remaining
остроумный	witty
отбор	selection
отделяться/отделиться (от +g)	to separate (from)	i отделяюсь
откликаться/откликнуться (на +a)	to respond (to sth)
отовсюду	from everywhere
отрицание	negation
ощутимый	perceptible
