SIMPLIFIED	TRADITIONAL	PINYIN	TRANSLATION
就	就	jiù	then; at once; just; only; with regard to	deck#5	due@2021-07-04 22:09:57
要	要	yào, yāo	to want; to need; will/shall; important | demand; request	deck#5	due@2021-07-04 22:10:22
知道	知道	zhīdao	know; be aware of	deck#5	due@2021-07-04 22:15:41
吧	吧	ba, bā	particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)	deck#5	due@2021-07-04 21:54:54
到	到	dào	arrive (at a place); until (a time)	deck#5	due@2021-07-04 22:08:42
对	對	duì	correct; a pair; to face; be opposite; to; towards	deck#5	due@2021-07-04 22:13:33
也	也	yě	also; too	deck#6	due@2022-03-31 22:15:20
还	還	hái, huán	still; yet; in addition; even | repay; to return	deck#5	due@2021-07-04 21:53:51
让	讓	ràng	ask; let; yield	deck#4	due@2021-05-05 22:20:04
给	給	gěi, jǐ	to give; to grant; (passive particle) | provide	deck#5	due@2021-07-04 22:06:10
过	過	guò	to pass; to cross; go over; (indicates a past experience)	deck#5	due@2021-07-04 21:43:05
得	得	dé, děi, de	obtain | must | (complement particle)	deck#5	due@2021-07-04 21:42:41
真	真	zhēn	real; true; genuine	deck#5	due@2021-07-04 22:12:56
着	著	zhe, zháo, zhuó	-ing (indicating action in progress) | to touch; to feel | to wear; apply	deck#5	due@2021-07-04 22:15:56
可以	可以	kěyǐ	can; may; possible; okay	deck#5	due@2021-07-04 21:47:55
别	別	bié, biè	don't do something; don't | depart; | other; difference; distinguish	deck#5	due@2021-07-04 21:38:07
走	走	zǒu	to walk; to go; to move (Kangxi radical 156)	deck#5	due@2021-07-04 21:45:02
告诉	告訴	gàosu	to tell; inform	deck#4	due@2021-05-05 21:49:11
因为	因為	yīnwèi	because	deck#5	due@2021-07-04 21:46:35
再	再	zài	again; once more	deck#6	due@2022-03-31 22:16:29
快	快	kuài	fast; quick; swift	deck#5	due@2021-07-04 21:57:03
但是	但是	dànshì	but; however	deck#5	due@2021-07-04 21:58:00
已经	已經	yǐjing	already	deck#5	due@2021-07-04 21:42:36
为什么	為什麼	wèishénme	why?; for what reason?	deck#5	due@2021-07-04 21:39:07
觉得	覺得	juéde	feel; think	deck#5	due@2021-07-04 22:13:07
它	它	tā	it	deck#5	due@2021-07-04 21:35:10
从	從	cóng	from; obey; observe	deck#5	due@2021-07-04 22:08:45
找	找	zhǎo	try to find; look for; seek; to give change	deck#5	due@2021-07-04 21:58:41
最	最	zuì	the most; -est; (indicator for superlative)	deck#5	due@2021-07-04 21:37:12
可能	可能	kěnéng	possible; maybe	deck#5	due@2021-07-04 21:49:14
次	次	cì	(mw for number of times of occurrence); nth; order	deck#5	due@2021-07-04 21:46:43
出	出	chū	go out; occur	deck#6	due@2022-03-31 22:09:39
孩子	孩子	háizi	child; children; son or daughter	deck#5	due@2021-07-04 21:55:32
所以	所以	suǒyǐ	so; therefore; as a result	deck#4	due@2021-05-05 21:54:17
两	兩	liǎng	two; 2; both; (unit of weight equal to 50 grams)	deck#5	due@2021-07-04 21:38:47
错	錯	cuò	mistake; error; blunder; miss an opportunity	deck#4	due@2021-05-05 21:50:58
等	等	děng	to wait; rank; equal; etc.	deck#5	due@2021-07-04 21:36:55
题	題	tí	topic; subject; question on a test or assignment	deck#3	due@2021-04-12 21:36:05
问	問	wèn	ask; inquire	deck#5	due@2021-07-04 22:09:49
问题	問題	wèntí	question; problem	deck#5	due@2021-07-04 21:49:53
一起	一起	yìqǐ	together; in the same place	deck#5	due@2021-07-04 21:52:59
开始	開始	kāishǐ	begin; to start; beginning	deck#5	due@2021-07-04 21:54:42
时间	時間	shíjiān	time; period	deck#5	due@2021-07-04 21:52:18
事情	事情	shìqing	matter; affair; thing; business	deck#4	due@2021-05-05 22:19:32
一下	一下	yíxià	a little bit/while; one time; once	deck#4	due@2021-05-05 22:02:12
非常	非常	fēicháng	extremely; extraordinary; very	deck#4	due@2021-05-05 22:03:55
希望	希望	xīwàng	to hope; wish for; to desire	deck#4	due@2021-05-05 21:39:47
准备	准備	zhǔnbèi	prepare; get ready	deck#5	due@2021-07-04 22:19:55
比	比	bǐ	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks	deck#5	due@2021-07-04 21:34:31
件	件	jiàn	(mw for things, clothes, and items)	deck#4	due@2021-05-05 22:20:00
意思	意思	yìsi	meaning; idea; opinion	deck#4	due@2021-05-05 22:18:08
第一	第一	dìyī	first; number 1	deck#5	due@2021-07-04 21:35:39
进	進	jìn	enter; come in	deck#4	due@2021-05-05 22:18:29
大家	大家	dàjiā	everyone	deck#5	due@2021-07-04 21:43:06
新	新	xīn	new; Xinjiang autonomous region (abbreviation)	deck#5	due@2021-07-04 22:13:18
您	您	nín	you (polite)	deck#6	due@2022-03-31 21:50:49
穿	穿	chuān	to wear; put on; penetrate	deck#3	due@2021-04-12 22:08:23
送	送	sòng	deliver; to carry; to give; send	deck#3	due@2021-04-12 21:46:08
玩	玩	wán	to play; have a good time; visit; enjoy	deck#4	due@2021-05-05 21:37:57
长	長	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)	deck#5	due@2021-07-04 21:51:38
小时	小時	xiǎoshí	hour	deck#5	due@2021-07-04 22:15:54
完	完	wán	to finish; be over; complete	deck#3	due@2021-04-12 21:35:08
每	每	měi	each; every	deck#5	due@2021-07-04 21:46:12
公司	公司	gōngsī	company; corporation	deck#5	due@2021-07-04 22:15:47
帮助	幫助	bāngzhù	help; assist; aid	deck#4	due@2021-05-05 21:41:54
晚上	晚上	wǎnshang	evening; night	deck#6	due@2021-12-11 22:11:55
说话	說話	shuōhuà	to talk; speak	deck#5	due@2021-07-04 22:02:35
门	門	mén	door; opening; gate (Kangxi radical 169)	deck#5	due@2021-07-04 21:53:36
女	女	nǚ	woman; female (Kangxi radical 38)	deck#6	due@2022-03-31 22:15:39
忙	忙	máng	busy	deck#4	due@2021-05-05 21:40:08
卖	賣	mài	to sell	deck#5	due@2021-07-04 22:11:01
高	高	gāo	high; tall (Kangxi radical 189)	deck#5	due@2021-07-04 21:44:23
房间	房間	fángjiān	room	deck#5	due@2021-07-04 20:24:29
路	路	lù	road; path; journey; route	deck#4	due@2021-05-05 22:19:37
懂	懂	dǒng	understand; know	deck#3	due@2021-01-06 15:15:30
正在	正在	zhèngzài	in the process of (doing something); currently	deck#4	due@2021-05-05 21:40:46
笑	笑	xiào	to laugh; to smile	deck#5	due@2021-07-04 22:06:43
远	遠	yuǎn	far; distant; remote	deck#4	due@2021-05-05 21:56:52
妻子	妻子	qīzi	wife	deck#5	due@2021-07-04 22:16:39
丈夫	丈夫	zhàngfu	husband; man	deck#3	due@2021-04-12 21:59:28
离	離	lí	leave; depart; go away; apart from	deck#4	due@2021-05-05 21:40:57
往	往	wǎng	to go (in a direction); towards; in the past	deck#3	due@2021-04-12 22:05:56
男	男	nán	male	deck#5	due@2021-07-04 21:41:56
眼睛	眼睛	yǎnjing	eye	deck#4	due@2021-05-05 22:06:25
快乐	快樂	kuàilè	happy	deck#5	due@2021-07-04 22:20:31
虽然	雖然	suīrán	although; even though	deck#5	due@2021-07-04 21:45:42
早上	早上	zǎoshang	(early) morning	deck#5	due@2021-07-04 22:15:15
药	藥	yào	medicine; drug; cure; chemical	deck#4	due@2021-05-05 21:35:51
身体	身體	shēntǐ	health; (human) body	deck#5	due@2021-07-04 20:24:09
黑	黑	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)	deck#5	due@2021-07-04 21:43:52
咖啡	咖啡	kāfēi	coffee	deck#5	due@2021-07-04 22:13:28
日	日	rì	sun; day; date; time (Kangxi radical 72)	deck#5	due@2021-07-04 21:53:38
休息	休息	xiūxi	to rest; take a break	deck#4	due@2021-05-05 21:46:16
外	外	wài	outer; outside; in addition; foreign	deck#5	due@2021-07-04 21:38:16
生日	生日	shēngrì	birthday	deck#5	due@2021-07-04 21:41:58
哥哥	哥哥	gēge	older brother	deck#6	due@2022-03-31 22:07:56
票	票	piào	ticket; bank note; a vote	deck#4	due@2021-05-05 21:47:11
手机	手機	shǒujī	mobile (cell) phone	deck#5	due@2021-07-04 22:05:13
洗	洗	xǐ	to wash; bathe	deck#5	due@2021-07-04 21:45:55
跳舞	跳舞	tiào wǔ	to dance	deck#4	due@2021-05-05 21:56:59
弟弟	弟弟	dìdi	younger brother	deck#5	due@2021-07-04 21:54:02
妹妹	妹妹	mèimei	younger sister	deck#4	due@2021-05-05 21:56:29
红	紅	hóng	red; symbol of success; bonus; popular	deck#4	due@2021-05-05 21:35:32
慢	慢	màn	slow	deck#4	due@2021-05-05 21:54:38
近	近	jìn	near; close (to)	deck#4	due@2021-05-05 21:50:39
白	白	bái, bó	white; snowy; pure; bright; empty (Kangxi radical 106)	deck#4	due@2021-05-05 21:44:34
姐姐	姐姐	jiějie	older sister	deck#5	due@2021-07-04 22:18:56
介绍	介紹	jièshào	to introduce; recommend; introduction	deck#4	due@2021-05-05 22:17:34
鱼	魚	yú	fish (Kangxi radical 195)	deck#5	due@2021-07-04 21:35:35
累	累	lèi, lěi, léi	tired | accumulate; implicate | rope; bind together	deck#4	due@2021-05-05 22:20:24
课	課	kè	class; subject; lesson; course	deck#5	due@2021-07-04 22:05:25
上班	上班	shàng bān	go to work; be on duty	deck#5	due@2021-07-04 22:06:30
旁边	旁邊	pángbiān	side, beside	deck#5	due@2021-07-04 21:37:38
运动	運動	yùndòng	(physical) exercise; movement; sports; campaign	deck#3	due@2021-04-12 21:57:12
去年	去年	qùnián	last year	deck#5	due@2021-07-04 22:05:36
报纸	報紙	bàozhǐ	newspaper	deck#3	due@2020-12-25 23:14:45
颜色	顏色	yánsè	color	deck#4	due@2021-05-05 21:52:29
机场	機場	jīchǎng	airport; airfield	deck#5	due@2021-07-04 22:12:42
唱歌	唱歌	chànggē	sing (a song)	deck#4	due@2021-05-05 22:19:02
千	千	qiān	one thousand	deck#4	due@2021-05-05 21:48:03
好吃	好吃	hǎochī	tasty	deck#5	due@2021-07-04 21:39:41
考试	考試	kǎoshì	test; exam; to give or take a test	deck#4	due@2021-05-05 21:41:03
左边	左邊	zuǒbian	the left side; the left	deck#4	due@2021-05-05 22:18:36
姓	姓	xìng	surname; family name	deck#4	due@2021-05-05 22:20:40
百	百	bǎi	hundred	deck#5	due@2021-07-04 22:12:18
雪	雪	xuě	snow	deck#5	due@2021-07-04 22:14:16
贵	貴	guì	expensive; noble; honorable; Guizhou province (abbreviation)	deck#4	due@2021-05-05 21:53:58
生病	生病	shēng bìng	get sick; fall ill	deck#5	due@2021-07-04 22:12:29
游泳	游泳	yóuyǒng	to swim	deck#3	due@2021-04-12 21:48:52
牛奶	牛奶	niúnǎi	cow's milk	deck#5	due@2021-07-04 21:36:38
