LEVEL	HANZI	PINYIN	MEANING	EXAMPLE
1	爱	aì	love		deck#5	due@2024-03-21 13:26:56
1+	爱人	aìrén	partner		deck#4	due@2024-01-21 22:00:35
1+	爱好	aìhǎo	hobby		deck#3	due@2024-01-06 20:02:10
3	可爱	kěài	adorable		deck#5	due@2024-03-18 19:53:10
5	恋爱	liànài	love (v)			due@2023-12-22 13:03:59
1	八	bā	eight		deck#4	due@2024-01-21 22:03:39
1	爸爸	bàbà	father		deck#3	due@2023-12-28 11:30:06
3	爷爷	yéyé	grandfather		deck#3	due@2023-12-28 11:01:16
1	不	bù	no/not		deck#6	due@2024-12-15 11:04:25
1	不客气	búkèqi	you're welcome		deck#4	due@2024-01-20 10:56:55
1	本	běn	book (n), original (a)		deck#5	due@2024-03-21 13:37:01
4	本来	běnlài	at first (adv), original (a)		deck#3	due@2023-12-30 14:30:13
5	根本	gēnběn	at all (adv)			due@2023-12-22 13:41:09
5	基本	jīběn	basic/basically/essential			due@2023-12-22 22:04:18
3	体育	tǐyù	sport		deck#3	due@2024-01-13 11:21:00
2	休息	xiūxi	rest (v)		deck#3	due@2024-01-06 19:40:36
3+	休假	xiūjiǎ	vacation/holiday/leave from duty			
3	米	mǐ	rice		deck#3	due@2023-12-29 22:11:06
1	米饭	mǐfàn	cooked rice			
1	菜	cài	vegetable/dish		deck#3	due@2024-01-06 20:02:15
3	菜单	càidān	menu		deck#3	due@2024-01-13 11:24:47
1	茶	chá	tea		deck#4	due@2024-01-29 20:04:38
2	咖啡	kāfēi	coffee	你想喝茶还是咖啡？	deck#5	due@2024-03-20 11:05:45
3	条	tiáo	item/article			
2	面条	miàntiáo	noodles		deck#3	due@2024-01-06 19:44:19
3	面包	miànbāo	bread		deck#3	due@2024-01-06 20:08:38
4	继续	jìxù	continue			due@2023-12-22 22:08:57
1	吃	chī	to eat		deck#5	due@2024-03-18 19:45:35
1+	吃饭	chīfàn	eat (a meal)		deck#3	due@2024-01-06 20:03:01
1*	吃饱	chībǎo	eat till full	我吃饱了。	deck#4	due@2024-01-18 19:10:51
1	饭店	fàndiàn	restaurant,hotel		deck#3	due@2024-01-06 20:08:10
1+	晚饭	wǎnfàn	dinner		deck#3	due@2023-12-30 14:43:05
1	商店	shāngdiàn	shop/store			
!	业	yè	business/industry/job		deck#3	due@2023-12-31 15:12:08
5	商业	shāngyè	commerce		deck#3	due@2024-01-06 20:04:34
3+	学业	xuéyè		studies		
3	作业	zuòyè	homework	我有很多作业要做。	deck#4	due@2024-01-18 19:13:06
5	工业	gōngyè	industry		deck#4	due@2024-01-29 20:01:42
4	职业	zhíyè	occupation/profession			due@2023-12-22 22:01:40
6	事业	shìyè	activity/undertaking/career			due@2023-12-22 22:08:36
!	亚	yà	Asia		deck#3	due@2023-12-29 13:55:41
5	碰	pèng	hit/bump into/take a chance			
3+	工艺	gōngyì	technology		deck#2	due@2024-01-07 11:17:16
4	艺术	yìshù	art			due@2023-12-22 22:01:55
2	公司	gōngsī	company		deck#3	due@2023-12-31 15:32:18
2	公斤	gōngjīn	kilogram		deck#5	due@2024-03-20 11:07:29
4	公里	gōnglǐ	kilometer			
3	办公室	bànggōngshì	office		deck#3	due@2023-12-28 11:33:15
3	办法	bànfǎ	method/way		deck#3	due@2024-01-06 20:32:02
4	法律	fǎlǜ	law		deck#2	due@2024-01-07 11:24:02
5	法院	fǎyuàn	court			due@2023-12-22 21:54:05
5	合法	héfǎ	legal			
6	非法	fēifǎ	illegal		deck#3	due@2024-01-06 20:08:41
1	大	dà	big		deck#6	due@2024-04-17 18:08:34
2	大家	dàjiā	everybody		deck#4	due@2024-01-20 11:37:52
2+	大学	dàxué	university		deck#6	due@2024-12-15 10:54:20
!	犬	quǎn	dog (radical)			
&	占	zhàn;zhān	occupy;divine			
1	点	diàn	a little/o'clock		deck#3	due@2023-12-31 15:31:18
&	古	gǔ	ancient		deck#3	due@2023-12-31 15:25:01
4	苦	kǔ	bitter/suffer from		deck#3	due@2023-12-31 15:33:10
1	电脑	diànnǎo	computer	脑=brain		
1	电视	diànshì	television	他把电视关掉	deck#4	due@2024-02-05 11:19:17
1	电影	diànyǐng	film	我要跟我朋友去看电影	影=shadow	deck#3	due@2024-01-13 11:19:56
1+	电话	diànhuà	telephone		deck#4	due@2024-01-29 19:59:43
3+	视频	shìpín	video		deck#2	due@2023-12-31 20:03:32
1	四	sì	four			
3	西	xī	west		deck#5	due@2024-03-20 10:58:22
1	东西	dōngxi	thing		deck#3	due@2023-12-29 22:08:02
3+	酒	jiǔ	wine/alcohol		deck#4	due@2024-01-29 20:31:16
3+	啤酒	píjiǔ	beer		deck#4	due@2024-01-30 18:12:13
3	东	dōng	east		deck#4	due@2024-01-29 19:49:34
	东方	dōngfāng	oriental, the Orient/east		deck#4	due@2024-02-05 11:18:34
5	方	fāng	direction		deck#3	due@2024-01-07 18:12:22
3	南	nán	south			
3	北	běi	north		deck#4	due@2024-01-21 13:21:40
1	北京	běijīng	Beijing			
1	都	dōu	all/even/already		deck#3	due@2023-12-29 21:54:09
3+	都会	dūhuì	big city,community		deck#2	due@2023-12-25 15:12:26
3+	首都	shǒudū	capital		deck#2	due@2023-12-31 20:03:47
1	买	mǎi	to buy		deck#3	due@2024-01-06 19:42:19
2	卖	mài	to sell		deck#3	due@2023-12-29 13:39:28
1	读	dú	to read		deck#3	due@2023-12-31 15:30:43
1	对不起	duìbuqǐ	sorry		deck#3	due@2023-12-30 14:43:22
&	夕	xī	dusk			due@2023-12-22 22:05:59
2	外	wài	outside/out/foreign			
1	多	duō	many		deck#6	due@2024-12-15 11:05:57
1	多少	duōshǎo	how much/many?		deck#4	due@2024-01-21 22:00:07
4	许多	xǔduō	many	城市有许多商店。	许=promise/praise/allow	deck#3	due@2024-01-13 11:16:24
4	够	gòu	enough			
1	岁	suì	age/years		deck#5	due@2024-03-20 11:36:21
&	冬	dōng	winter		deck#3	due@2023-12-30 13:56:07
3	终于	zhōngyú	finally/at last		deck#2	due@2023-12-25 15:32:30
3	疼	téng	pain/hurts			
1	儿子	érzi	son		deck#4	due@2024-01-29 19:49:07
1	二	èr	two			
3	分	fēn	divide			
4	份	fèn	part/portion(MW)			due@2023-12-22 22:12:26
1	分钟	fēnzhōng	minute		deck#4	due@2024-01-20 11:01:23
4	部分	bùfēn	part (n)			due@2023-12-22 22:08:58
4	全部	quánbù	whole (adj)		deck#2	due@2023-12-31 19:49:40
2	完	wán	whole/complete		deck#3	due@2024-01-06 20:06:37
3	完成	wánchéng	to finish/complete		deck#3	due@2023-12-31 15:24:35
2	玩	wán	to play		deck#3	due@2024-01-13 11:16:54
2	高	gāo	high/all		deck#4	due@2024-02-05 11:17:11
1	高兴	gāoxìng	happy,enjoy (v)	我们的孩子玩得很高兴。	deck#4	due@2024-01-18 19:41:59
3	提高	tígāo	to raise/improve		deck#3	due@2023-12-30 13:59:04
3	总（是）	zǒng(shì)	always		deck#3	due@2023-12-28 10:58:20
&	聪明	cōngmíng	clever			
1	个	ge	generic measure word			
1	工作	gōngzuò	work (n)		deck#3	due@2023-12-31 15:22:45
1	狗	gǒu	dog			
5	猪	zhū	pig		deck#2	due@2023-12-25 15:31:04
1	猫	māo	cat		deck#4	due@2024-01-29 19:50:43
&	狼	láng	wolf		deck#2	due@2024-01-01 18:11:16
5	狮子	shīzi	lion		deck#4	due@2024-01-20 11:04:02
5	猴子	hóuzi	monkey			due@2023-12-22 21:49:15
4	老虎	lǎohǔ	tiger			due@2023-12-22 21:43:35
3	熊猫	xióngmāo	panda			
3+	熊	xióng	bear		deck#3	due@2024-01-06 20:02:20
4	逛	guàng	stroll			
1	汉语	hànyǔ	Chinese		deck#6	due@2024-09-01 15:16:37
1	好	hǎo	good			
1	号	hào	number		deck#4	due@2024-01-20 10:58:03
4	号码	hàomǎ	number		deck#3	due@2023-12-29 13:21:00
1	喝	hē	to drink		deck#4	due@2024-01-20 11:26:43
3	渴	kě	thirsty	你为什么总觉得很渴？	deck#4	due@2024-01-18 19:12:06
